name,neighbourhood,room_type,bedrooms,bathrooms,accommodates,minimum_nights,price,availability_365,number_of_reviews,review_score,latitude,longitude,is_superhost
Canal & Parkview Apartment,Westerpark,Entire home/apt,1.0,1.0,4,1,275.0,363,129,98.0,52.38584,4.871,1
"SunShine, A Sunny Amsterdam Center Special",Centrum-Oost,Entire home/apt,2.0,1.5,4,3,200.0,208,21,91.0,52.35955,4.8979,0
Sailing Ship Amsterdam Centre (1),Westerpark,Entire home/apt,10.0,3.0,16,2,600.0,363,99,98.0,52.39235,4.88601,0
"Luxurious 17C Canal Villa Apt, Low-cost Parking",Oud-Noord,Entire home/apt,1.0,1.5,2,2,175.0,0,75,90.0,52.39992,4.92,0
Cozy Central Apartment Amsterdam,Zuid,Entire home/apt,1.0,1.0,2,2,169.0,0,28,96.0,52.35913,4.86638,0
*historic centre* *bright* *canal view* *jordaan*,Centrum-West,Entire home/apt,1.0,1.0,2,3,190.0,352,81,95.0,52.37104,4.87713,1
40 m2 Appartment near Leidseplein,De Baarsjes - Oud-West,Entire home/apt,1.0,1.0,2,3,95.0,0,53,96.0,52.36684,4.87676,0
"""The Roosevelt Apt""  Amsterdam RAI",De Pijp - Rivierenbuurt,Entire home/apt,1.0,1.0,2,2,199.0,90,38,99.0,52.341429999999995,4.89142,0
Elegant Appartement Central Location.,De Pijp - Rivierenbuurt,Entire home/apt,1.0,1.0,4,1,71.0,40,352,95.0,52.35729,4.90163,0
Familyhome easy airport connection!,Zuid,Entire home/apt,2.0,1.0,4,1,88.0,0,32,95.0,52.34919,4.85889,0
beautiful designed ap.+bikes+garden,De Pijp - Rivierenbuurt,Private room,1.0,1.5,4,3,148.0,0,535,99.0,52.3555,4.89215,1
Lovely FAMILY house near Vondelpark,De Baarsjes - Oud-West,Entire home/apt,4.0,1.0,4,2,220.0,0,27,98.0,52.36182,4.856990000000001,0
Stay at 'Perfect appartement in the center' by the,Centrum-Oost,Entire home/apt,1.0,1.0,2,4,150.0,87,37,98.0,52.368840000000006,4.90648,0
Amstel Nest - an urban retreat for two,Oud-Oost,Private room,1.0,1.0,2,4,59.0,144,390,98.0,52.35549,4.908519999999999,1
SPACIOUS historical Amsterdam apartment 120m2,De Pijp - Rivierenbuurt,Entire home/apt,2.0,1.5,4,2,169.0,0,43,95.0,52.35711,4.90391,0
Amsterdam appartment + southgarden,De Pijp - Rivierenbuurt,Entire home/apt,1.0,1.0,2,3,200.0,363,27,93.0,52.35683,4.89925,0
★ STYLISH FAMILY HOME - CITY CENTER,De Baarsjes - Oud-West,Entire home/apt,4.0,1.5,4,2,245.0,53,84,97.0,52.36545,4.8753,1
★ Stunning City Centre Apartment #3,Centrum-West,Entire home/apt,2.0,1.5,2,7,95.0,90,107,97.0,52.37962,4.8945,1
"Bright, newly renovated apartment in Center-East",Centrum-Oost,Entire home/apt,1.0,1.0,2,6,99.0,0,52,98.0,52.37021,4.93007,1
"PEACEFUL HOME IN HISTORIC CENTRE, NEXT TO AMSTEL",Centrum-Oost,Entire home/apt,1.0,1.5,2,3,300.0,89,11,100.0,52.36248,4.90204,0
"Charming,  bright and quiet home center Amsterdam",De Baarsjes - Oud-West,Entire home/apt,1.0,1.5,2,3,88.0,11,68,98.0,52.36594,4.87807,0
Freedom on the water!,Centrum-Oost,Entire home/apt,1.0,1.5,2,2,280.0,250,104,99.0,52.37213,4.90379,1
Private Studio Houseboat *BEST VIEW* @ Amstel,Oud-Oost,Private room,1.0,1.0,2,3,249.0,0,82,93.0,52.354659999999996,4.90763,0
"Central Loft, Great Rooftop Terrace",Westerpark,Entire home/apt,1.0,1.0,3,2,250.0,0,109,93.0,52.37545,4.87635,0
"Lovely apt, Amsterdam /Jordaan.",Westerpark,Entire home/apt,2.0,1.0,4,4,295.0,0,55,96.0,52.37927,4.8775,0
Room in Jordaan Heart of Amsterdam,Centrum-West,Private room,1.0,1.0,2,3,85.0,0,574,97.0,52.378240000000005,4.88532,1
Comfortable design apartment with roof terrace,Watergraafsmeer,Entire home/apt,1.0,1.5,2,2,110.0,350,194,97.0,52.35338,4.934069999999999,1
Rooftop Terrace Luxury Loft Centre Amsterdam,De Baarsjes - Oud-West,Entire home/apt,1.0,1.0,3,20,199.0,0,23,92.0,52.35971,4.86177,0
Cent Adam Lux (2-4p) Apt 90 sqm(m2),Centrum-Oost,Entire home/apt,2.0,2.0,4,180,280.0,358,78,98.0,52.363,4.89917,0
Sunny Amsterdam East Harbor View,Oostelijk Havengebied - Indische Buurt,Entire home/apt,1.0,1.0,3,2,145.0,362,67,98.0,52.36958,4.93516,0
Beautiful 19th Cent. City Apartment,De Baarsjes - Oud-West,Entire home/apt,2.0,1.0,4,3,185.0,0,21,97.0,52.36872,4.86022,0
★ City Centre Loft #4,Centrum-West,Entire home/apt,3.0,2.5,3,7,275.0,77,134,97.0,52.37964,4.894419999999999,1
Sunny apartment with cat,Bos en Lommer,Entire home/apt,2.0,1.0,2,4,45.0,0,18,95.0,52.37853,4.85573,0
Beautiful apartment @ true center,Centrum-Oost,Entire home/apt,1.0,1.0,2,2,304.0,363,24,95.0,52.36177,4.88744,0
COOL DESIGN HOUSE with WiFi,De Pijp - Rivierenbuurt,Entire home/apt,1.0,1.0,2,3,109.0,40,123,92.0,52.35298,4.90512,0
Bright apt in central Amsterdam,De Baarsjes - Oud-West,Entire home/apt,1.0,1.0,2,4,140.0,0,52,98.0,52.36994,4.86707,0
Charming houseboat near Olympic St.,Zuid,Entire home/apt,2.0,1.0,4,3,220.0,61,105,97.0,52.34279,4.84985,0
